,ring_metal,Overall Condition,Gemstone Weights (carats),Ring Price (usd),Ring Gross Weight (grams),Ring Size,Diamond Average Color,Diamond Average Clarity,Diamond Shapes,Gems Shapes,Gem Average Clarity,Gem Type
718,"Diamond, Platinum ", Very Good,[2.58],1750000.0,4.47,7.0, D-E-F, VS,"[' Emerald-cut, Baguette-cut', ' Emerald-cut']",[],,[]
719,"Diamond, Platinum ", Very Good,[3.7 1. ],1750000.0,10.3,6.0, G-H-I, VS,"[' European-cut, Single-cut']",[],,[]
720,"Diamond, Platinum ", Very Good,[2.04 0.2 ],1750000.0,5.0,4.0, G-H-I, SI,"[' Emerald-cut, Half-Moon', ' Emerald-cut']",[],,[]
721,"Diamond, Platinum ", Very Good,[3.78 0.35],1750000.0,4.81,11.0, M+, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
722,"Diamond, White Gold ", Very Good,[3.01],1750000.0,3.3,6.0, J-K-L, VS,[' Round Brilliant-cut'],[],,[]
723,"Diamond, Platinum Eternity Band, Harry Winston",,[6.29],1750000.0,9.5,, D-E-F, VS,[' Round brilliant-cut'],[],,[]
724,"Alexandrite, Diamond, Platinum ", Very Good,[2.41 0.52],1750000.0,8.7,6.0, D-E-F, VVS,[' Tapered Baguette-cut'],[' Emerald-cut'], Fine,[' Alexandrite']
725,"Precision Set Diamond, Platinum ", Excellent,[],1750000.0,,5.0, D-E-F, VVS,[' Round Brilliant-cut'],[],,[]
726,"Diamond, Platinum ", Very Good,[2.25 0.85 0.75],1750000.0,9.2,6.0, J-K-L, VS,"[' Round Brilliant-cut, Full-cut, Baguette-cut']",[],,[]
727,"Sapphire, Diamond, White Gold ", Very Good,[7.64 1.7 ],1750000.0,10.93,6.0, G-H-I, SI,[' Full-cut'],[],,[]
728,"Art Deco Star Sapphire, Diamond, Platinum ", Good,[40.    0.5   0.85],1750000.0,16.9,6.0, G-H-I, SI,"[' Triangle-shaped, Full-cut, Baguette-cut, Tapered Baguette-cut']",[' Cabochon'], Good,[' Star Sapphire']
729,"Diamond, Platinum ", Very Good,[2.53 1.22  nan],1750000.0,15.09,5.0, G-H-I, VS,"[' Marquise-shaped, Baguette-cut, Full-cut']",[],,[]
730,"Diamond, Platinum, White Gold ", Very Good,[4.8 1.4 6.2],1750000.0,10.4,, G-H-I, VS,"[' Marquise-cut, Full-cut']",[],,[]
731,"Diamond, Gold ", Excellent,[3.05 0.75 3.8 ],1750000.0,8.0,6.0, M+, VS,"[' Round-Brilliant-cut, Full-cut']",[],,[]
732,"Ceylon Yellow Sapphire, Diamond, Platinum, Gold ", Very Good,[22.6   1.15  0.6 ],1700000.0,18.3,6.0, G-H-I, SI,"[' pear, full-cut']",[' Oval'],,[' Yellow Sapphire']
733,"Diamond, Gold Wedding ", Very Good,[2.51],1687500.0,58.62,,,,[' Round Brilliant'],[],,[]
734,"Diamond, Gold ", Very Good,[5.1  0.85],1687500.0,6.1,6.0, G-H-I, I,"[' Full-cut', ' Pear']",[],,[]
735,"Diamond, Synthetic Sapphire, Platinum ", Very Good,[2.91 1.1 ],1687500.0,7.3,, G-H-I, VS,"[' Full-cut', ' Round Brilliant']",[],,[]
736,"Diamond, Gold ", Very Good,[2.96],1687500.0,6.9,6.0, G-H-I, SI,"[' Round Brilliant-cut', ' Round Brilliant']",[],,[]
737,"Kashmir Sapphire, Diamond, Platinum ", Very Good,[1.93 0.25],1687500.0,5.3,6.0, G-H-I, VS,[' Triangle-cut'],[' Oval Mixed-cut'],,"[' Sapphire', ' Corundum']"
738,"Colombian Emerald, Diamond, Platinum ", Very Good,[1.15 1.3 ],1687500.0,6.1,5.0, G-H-I, VS,[' Full-cut'],"[' Emerald-cut', ' Emerald-cut']",,"[' Emerald', ' Emerald']"
739,"Sapphire, Diamond, Platinum ", Very Good,[6.73 1.25],1687500.0,9.56,6.0, G-H-I, VS,[' Half-Moon-cut'],[' Emerald-cut'], Fine,[' Sapphire']
740,"Colored Diamond, Black Onyx, Gold ", Very Good,[2.8],1687500.0,11.22,,, VS,[' Full-cut'],[],,[]
741,"Diamond, Platinum ", Very Good,[3.6 1. ],1687500.0,9.37,5.0, M+, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
742,"Sapphire, Gold ", Very Good,[10.7],1687500.0,19.36,6.0,,,[],[],,[]
743,"Diamond, Platinum ", Very Good,[2.01 0.45],1673000.0,6.3,3.0, G-H-I, VS,"[' Pear-cut, Tapered Baguette-cut']",[],,[]
744,"Diamond, Platinum, White Gold ", Very Good,[2.06 0.2  0.6 ],1673000.0,10.18,7.0, G-H-I, VS,"[' Round Brilliant-cut, Tapered Baguette-cut, Full-cut']",[],,[]
745,"Emerald, Diamond, Gold ", Very Good,[48.   2.5  3.5  6. ],1673000.0,32.1,6.0, G-H-I, SI,"[' Full-cut, Baguette-cut']",[],,[]
746,"Diamond, Colored Diamond, Gold, Platinum ", Very Good,[2.17 1.75 5.52],1673000.0,11.55,, G-H-I, VS,"[' Rectangular Modified Brilliant, Full-cut']",[],,[]
747,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[2.69 0.6 ],1673000.0,6.75,5.0, D-E-F, VS,[' Rectangular-cut'],[],,[]
748,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[2.09 1.02 0.82 4.74],1673000.0,8.7,6.0, G-H-I, VS,"[' Rectangular-cut, Radiant-cut Full-cut']",[],,[]
749,"Diamond, Platinum ", Very Good,[1.11 1.13],1625000.0,6.8,6.0,,,"[' Round Brilliant', ' Round Brilliant', ' Round Brilliant']",[],,[]
750,"Diamond, Gold ", Good,[3.01],1625000.0,5.9,6.0,,,[' Round Brilliant'],[],,[]
751,"Sapphire, Diamond, Platinum ", Good,[8.61 1.1 ],1625000.0,10.1,5.0, G-H-I, VS,[' Baguette'],[' Oval'],,[' Natural Corundum']
752,"Tanzanite, Diamond, Platinum ", Very Good,[16.28  1.56],1625000.0,16.2,7.0, G-H-I, SI,[' heart-shape'],[' Emerald-cut'],,[' Tanzanite']
753,"Diamond, Platinum, Gold ", Very Good,[9.],1625000.0,29.2,7.0, G-H-I, VS,[' full-cut'],[],,[]
754,"Gentleman's Cat's-Eye Chrysoberyl, Diamond, Gold ", Very Good,[16.75  0.9 ],1625000.0,16.3,8.0, G-H-I, VS,[' Emerald-cut'],[' Cabochon'],,"["" Cat's-Eye Chrysoberyl""]"
755,"Gentleman's Diamond, Platinum ", Very Good,[6.35 0.65],1625000.0,21.5,13.0, J-K-L, I,"[' Round Brilliant, Triangle-shaped']",[],,[]
756,"Burma Spinel, Diamond, Platinum, Gold ", Very Good,[4.77 0.6 ],1625000.0,6.2,7.0, G-H-I, VS,[' Baguette-cut'],[' Oval'],,[' Natural Spinel']
757,"Diamond, Coral, Black Onyx, Platinum ", Very Good,[2.75 0.4 ],1625000.0,8.4,6.0, J-K-L, SI,"[' Cushion, European']",[' Carved'],,"[' Coral, Black Onyx']"
758,"Diamond, Platinum, Gold ", Very Good,[3.   0.85],1625000.0,19.2,5.0, G-H-I, SI,"[' Radiant-cut', ' Round Brilliant']",[],,[]
759,"Diamond, Gold ", Very Good,[3.79],1625000.0,4.1,6.0,,,[' Round Brilliant'],[],,[]
760,"Diamond, Platinum ", Very Good,[1.6 0.3],1625000.0,5.1,7.0, D-E-F, VS,"[' Pear, Tapered Baguette']",[],,[]
761,"Colored Diamond, Gold ", Very Good,[1.04 0.45],1625000.0,5.1,5.0,, SI,"[' Full-cut', ' Marquise Brilliant']",[],,[]
762,"Diamond, Gold ", Good,[3.92 2.  ],1625000.0,20.3,7.0, G-H-I, VS,"[' full-cut', ' Emerald Cut']",[],,[]
763,"Diamond, Gold ", Very Good,[4.24 1.2 ],1625000.0,7.2,7.0, G-H-I, VS,"[' Tapered Baguette, Baguette', ' Emerald-cut']",[],,[]
764,"Diamond, White Gold ", Very Good,[2.1],1625000.0,8.1,4.0, D-E-F, VVS,[' Full-cut'],[],,[]
765,"Burma Ruby, Diamond, Platinum, Gold ", Very Good,[25.   1.1],1625000.0,14.0,6.0, G-H-I, VS,[' Marquise-cut'],[' Oval Cabochon'],,[' Natural Corundum']
766,"Diamond, Platinum ",,[3.01 0.5 ],1625000.0,15.2,6.0, G-H-I, VS,"[' Oval-shaped, Full-cut', ' Oval']",[],,[]
767,"Jadeite Jade, Diamond, White Gold ", Very Good,[16.75  3.1 ],1625000.0,16.4,, G-H-I, VS,[' Full-cut'],[' Oval-shaped cabochon'],,[' Jadeite Jade']
768,"Sapphire, Diamond, Platinum ", Very Good,[14.83  1.5 ],1625000.0,15.6,, G-H-I, SI,[' Half-Moon-Shaped'],[' Oval-shaped'], Good,[' Sapphire']
769,"Ruby, Diamond, Platinum ", Very Good,[4.04 0.81],1625000.0,5.3,5.0, G-H-I, VS,[' Trapezoid-shaped'],[' Oval-shaped'], Good,[' Ruby']
770,"White Agate, Gold ", Very Good,[],1625000.0,20.2,,,,[],[],,[]
771,"Black Opal, Diamond, Platinum ", Excellent,[8.  1.9],1625000.0,11.6,8.0, G-H-I, VS,"[' Full-cut, Baguette-cut, Hexagon-cut']",[' Oval-shaped Cabochon'], Fine,[' Black Opal']
772,"Diamond, Platinum ", Very Good,[8.5],1625000.0,6.5,, G-H-I, VS,[' Asscher-cut'],[],,[]
773,"Burmese Sapphire, Diamond, White Gold ", Excellent,[5.06 0.89],1625000.0,6.5,6.0, G-H-I, VS,[' Full-cut'],[],,[]
774,"Fancy Yellow Diamond, Gold ", Very Good,[2.69],1625000.0,9.57,8.0,, VS,[' Emerald-cut'],[],,[]
775,"Kurt Wayne Diamond, Platinum ", Very Good,[],1625000.0,,4.0, G-H-I, VS,"[' Emerald-cut, Full-cut, Tapered Baguette-cut']",[],,[]
776,"Diamond, Platinum ", Very Good,[2.75 3.35],1625000.0,5.7,6.0, G-H-I, SI,"[' Cut Cornered Square-modified Brilliant, Full-cut']",[],,[]
777,"Diamond, Platinum ", Very Good,[ 5.01 10.  ],1625000.0,17.2,7.0, J-K-L, SI,"[' Pear-shaped, Oval-shaped']",[],,[]
778,"Sapphire, Diamond, Platinum ", Very Good,[7.41 1.4 ],1625000.0,7.17,6.0, J-K-L, SI,[' Trillion-shaped'],[' Emerald-cut'], Fine,[' Sapphire']
779,"Aquamarine, Diamond, Platinum ", Very Good,[29.3  0.7],1625000.0,20.84,6.0, G-H-I, VS,"[' Trapezoid-cut, Baguette-cut']",[' Emerald-cut'], Good,[' Aquamarine']
780,"Diamond, Platinum ", Excellent,[3.02 1.2 ],1625000.0,6.15,6.0, G-H-I, SI,"[' Pear-shaped, Trilliant-cut']",[],,[]
781,"Light Pink Diamond, Colored Diamond, Gold ", Very Good,[1.11 0.55 2.01],1625000.0,4.1,6.0,, I,"[' Marquise-shaped, Half-moon-shaped, Full-cut']",[],,[]
782,"Sapphire, Diamond, Platinum ", Very Good,[6.8 2. ],1625000.0,7.88,6.0, G-H-I, VS,[' Marquise-cut'],[' Oval-shaped'], Good,[' Sapphire']
783,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[2.01 1.33 2.01],1613250.0,6.6,6.0, G-H-I, VS,[],[],,[]
784,"Diamond, Platinum ", Good,[2.32 0.3  1.  ],1562500.0,10.7,6.0, G-H-I, SI,"[' Baguette', ' Round Brilliant']",[],,[]
785,"Diamond, Gold ", Very Good,[2.47 0.95 0.8 ],1562500.0,10.7,7.0, G-H-I, SI,"[' Full-cut, Pear-shaped', ' Round Brilliant']",[],,[]
786,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[7.   1.25],1562500.0,9.4,8.0, G-H-I, I,[' triangular brilliant'],[' Emerald-cut'],,[' Emerald']
787,"Diamond, Platinum ", Very Good,[3.78 0.35],1562500.0,4.81,11.0, M+, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
788,"Diamond, Platinum, Gold ", Very Good,[3.  0.7 0.4 4.1],1562500.0,10.8,5.0, J-K-L, SI,"[' Round Brilliant-cut, Full-cut, Tapered Baguette-cut']",[],,[]
789,"Fancy Yellow Diamond, Diamond, White Gold ", Very Good,[2.58 3.3 ],1562500.0,11.6,, G-H-I, VVS,"[' Cut-Cornered Rectangular Modified Brilliant, Radiant']",[],,[]
790,"Alexandrite, Diamond, White Gold ", Very Good,[4.01 0.98],1562500.0,6.74,8.0, G-H-I, SI,[' Full-cut'],[],,[]
791,"Diamond, Gold ", Very Good,[2.06 1.5  3.56],1562500.0,11.42,8.0, G-H-I, SI,"[' Round Brilliant-cut, Radiant-cut']",[],,[]
792,"Diamond, White Gold ", Very Good,[5.95],1562500.0,5.43,7.0, J-K-L, I,[' Round Brilliant-cut'],[],,[]
793,"Diamond, Platinum ", Excellent,[1.51 0.48 1.99],1562500.0,4.8,7.0, D-E-F, VS,"[' Round-Brilliant-cut, Pear-cut']",[],,[]
794,"Diamond, Platinum ", Very Good,[5.  0.4],1553500.0,6.58,6.0, M+, SI,"[' Marquise-cut, Tapered Baguette-cut']",[],,[]
795,"Jadeite Jade, Diamond, Gold ", Good,[23.36  1.15],1553500.0,11.5,5.0, G-H-I, I,[' Marquise-cut'],[' Oval-shaped double cabochon'], Fine,[' Jade']
796,"Star Ruby, Ruby, Diamond, Gold ", Good,[14.35  9.15  5.75],1553500.0,29.0,4.0, G-H-I, VS,[' Full-cut'],[],,[]
797,"Diamond, Gold ", Very Good,[4.5  3.25 7.75],1553500.0,12.15,7.0, J-K-L, I,"[' Pear-cut, Baguette-cut']",[],,[]
798,"Sapphire, Diamond, Gold ", Excellent,[13.69  0.73],1553500.0,16.65,7.0, D-E-F, VS,[' Full-cut'],[' Cushion'], Fine,[' Sapphire']
799,"Diamond, Platinum ", Very Good,[1.51 0.5  0.5 ],1553500.0,6.97,5.0, D-E-F, VS,[' Emerald-cut'],[],,[]
800,"Diamond, Platinum ", Very Good,[5.35 1.45 6.8 ],1553500.0,11.9,5.0, J-K-L, I,"[' Radiant, Full']",[],,[]
801,"Diamond, Platinum ", Very Good,[4.  0.3],1553500.0,5.2,5.0, J-K-L, VS,"[' Round Brilliant-cut, Baguette']",[],,[]
802,"Color Change Sapphire, Diamond, Platinum ", Good,[8.1 0.5],1550000.0,7.3,5.0, G-H-I, SI,[' Single-cut'],"[' Oval', ' Oval']",,"[' Color Change Sapphire', ' Natural Color Change Sapphire']"
803,"Ceylon Pink Sapphire, Diamond, White Gold ", Very Good,[4.1 0.5],1500000.0,4.5,6.0, G-H-I, I,[' Heart'],[' Cushion'],,[]
804,"Burma Ruby, Diamond, White Gold ", Good,[2.35 4.  ],1500000.0,8.5,, G-H-I, VS,[' Full-cut'],[' Cushion'],,[' Ruby']
805,"Ceylon Sapphire, Diamond, Platinum, White Gold ", Good,[22.   3.9],1500000.0,15.6,6.0, G-H-I, VS,[' Full-cut'],[' Oval Mixed Cut'],,"[' Natural Corundum, Yellow Sapphire']"
806,"Emerald, Diamond, Gold ", Very Good,[7.8  1.3  0.75],1500000.0,9.5,6.0, G-H-I, SI,"[' Marquise, Pear']","[' Square', ' Emerald-cut']",,"[' Emerald', ' Natural Beryl, Emerald']"
807,"Gentlemen's Emerald, Diamond, White Gold ", Very Good,[20.25  2.  ],1500000.0,25.7,7.0, G-H-I, I,[' full'],[' Square Emerald-cut'],,[' Natural Beryl']
808,"Gentlemen's Diamond, White Gold ", Good,[4.  2.5 3.1 9.6],1500000.0,41.3,9.0, J-K-L, SI,"[' Full-cut', ' Rectangular Modified Brilliant']",[],,[]
809,"Tanzanite, Diamond, Platinum ", Very Good,[11.87  1.5 ],1500000.0,10.1,7.0, D-E-F, VS,[' Full-cut'],[' Modified Brilliant'],,[' Tanzanite']
810,"Diamond, Platinum ", Very Good,[2.45],1500000.0,17.6,7.0,,,[' Round Brilliant'],[],,[]
811,"Diamond, White Gold ", Very Good,[3.4 0.9],1500000.0,7.3,6.0, G-H-I, I,"[' Oval, full-cut', ' Oval']",[],,[]
812,"Art Deco Emerald, Diamond, Platinum ", Good,[0.7 1.5],1500000.0,3.5,6.0, G-H-I, VS,"[' Marquise-shaped, European-cut']","[' Octagonal, Calibré-cut']",,[' Emerald']
813,"Diamond, Gold ", Very Good,[2.01 5.2 ],1500000.0,9.7,5.0, G-H-I, VS,"[' full-cut', ' Oval']",[],,[]
814,"Colombian Emerald, Diamond, White Gold ", Very Good,[3.37 0.65 0.3 ],1500000.0,7.8,6.0, G-H-I, VS,"[' baguette, full-cut']",[' Oval Brilliant'],,[' Emerald']
815,"Diamond, Ruby, Gold ", Very Good,[2.03 0.85],1500000.0,9.0,6.0, G-H-I, SI,"[' baguette, full-cut', ' Round Brilliant']",[' Cabochon'],,[' Ruby']
816,"Diamond, Gold ", Very Good,[3.58],1500000.0,7.4,5.0,,,[' Round Brilliant'],[],,[]
817,"Emerald, Diamond, White Gold ", Very Good,[6.5 1. ],1500000.0,8.02,6.0, J-K-L, SI,[' Triangle'],[' Emerald-cut'],,[' Natural Beryl']
818,"Fancy Brownish-Yellow Diamond, Diamond, Platinum, White Gold ", Very Good,[5.02 1.25 0.85],1500000.0,14.02,4.0, J-K-L, SI,"[' Full-cut', ' Cut-Cornered Modified Rectangular Brilliant']",[],,[]
819,"Tsavorite Garnet, Diamond, Gold ", Very Good,[2.35 0.3 ],1000.0,9.9,4.0, G-H-I, SI,[' Full-Cut'],[' Square'],,[' Tsavorite Garnet']
820,"Sapphire, Diamond, Platinum ", Excellent,[15.67  0.9 ],2125000.0,10.4,5.0, G-H-I, VS,[' Full-cut'],[],,[]
821,"Diamond, White Gold ", Very Good,[3.38 1.65],2062500.0,7.4,6.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
822,"Fancy Light Yellow Diamond, Diamond, Gold ", Very Good,[4.63 1.35],2062500.0,20.7,9.0, G-H-I, SI,"[' tapered baguette, full-cut', ' cut-cornered square mixed-cut']",[],,[]
823,"Diamond, Platinum, White Gold ", Very Good,[3.58 0.3 ],2062500.0,5.1,, M+, VVS,"[' Round Brilliant-cut, Baguette-cut']",[],,[]
824,"Diamond, White Gold ", Very Good,[1.98],2062500.0,2.85,5.0, G-H-I, SI,[' Round Brilliant-cut'],[],,[]
825,"Gentleman's Diamond, Gold ", Very Good,[3.   0.45],2031500.0,8.4,7.0, D-E-F, VS,"[' Cut Cornered Rectangular- Modified Brilliant, European-cut, Full-cut']",[],,[]
826,"Diamond, Gold ", Excellent,[3.7  1.05 1.05 5.8 ],2031500.0,14.8,6.0, M+, VVS,"[' Round brilliant-cut, Full-cut, Baguette-cut']",[],,[]
827,"Diamond, Platinum ", Very Good,[3.73 1.12 4.85],2031500.0,7.2,4.0, J-K-L, VS,"[' Emerald-cut, Trillion-cut']",[],,[]
828,"Diamond, Platinum, White Gold ", Very Good,[5.  0.8 5.8],2031500.0,6.0,, M+, VS,"[' Round Brilliant-cut, Baguette']",[],,[]
829,"Cat's-Eye Chrysoberyl, Diamond, Platinum ",,[],2031500.0,10.0,,,,[' marquise'],[],,[]
830,"Diamond, Gold ", Very Good,[4.53 0.6 ],2000000.0,8.1,6.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
831,"Diamond, Platinum ", Very Good,[2.36 0.55],2000000.0,5.2,7.0, G-H-I, VS,"[' tapered baguette', ' Emerald Cut']",[],,[]
832,"Diamond, Platinum ", Very Good,[5.01 3.65 0.2 ],2000000.0,20.4,8.0, G-H-I, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
833,"Colombian Emerald, Diamond, Gold ", Very Good,[6.27 0.8 ],2000000.0,7.9,5.0, G-H-I, SI,[' Triangle-shaped'],[' Square Emerald-cut'],,[' Natural Beryl']
834,"Diamond, Platinum ", Very Good,[5.01 2.15],2000000.0,11.8,, G-H-I, SI,"[' Baguette-cut', ' Emerald-cut']",[],,[]
835,"Gentleman's Diamond, Gold ", Very Good,[6.19 1.5 ],2000000.0,34.8,9.0, G-H-I, VS,"[' full-cut', ' Cut cornered square modified brilliant']",[],,[]
836,"Sapphire, Diamond, Platinum ", Very Good,[6.88 1.56],2000000.0,7.6,5.0, G-H-I, VS,[' Half Moon-shaped'],[' Oval-shaped'],,[' Sapphire']
837,"Diamond, Platinum ", Very Good,[3.31 0.55],2000000.0,4.9,3.0, G-H-I, VS,"[' Baguette-cut', ' Pear']",[],,[]
838,"Fancy Yellow Diamond, Diamond, Gold ", Very Good,[2.91 1.2 ],2000000.0,5.0,6.0, G-H-I, SI,"[' Mine', ' Old mine']",[],,[]
839,"Art Deco Diamond, Emerald, Platinum ", Very Good,[4.   0.4  0.65],2000000.0,5.8,6.0, G-H-I, VS,"[' European-cut, Single-cut']",[' Calibré-cut'],,[' Emerald']
840,"Diamond, Synthetic Stone, 18k Gold ", Good,[],2000000.0,,,,,[],[],,[]
841,"Paraiba Tourmaline, Diamond, Gold ", Very Good,[24.  5.],2000000.0,24.2,7.0, G-H-I, VS,"[' Rose-cut, Pear-shaped Rose-cut']","[' Oval Cabochon', ' Oval Cabochon']",,"[' Tourmaline', ' Tourmaline']"
842,"Burma Sapphire, Diamond, White Gold ", Very Good,[10.57  1.85],2000000.0,10.2,6.0, G-H-I, VS,[' Full-cut'],"[' Oval-shaped', ' Oval']",,"[' Sapphire', ' Corundum']"
843,"Lavender Jadeite Jade, Diamond, Platinum ", Very Good,[18.46  1.5 ],2000000.0,12.26,6.0, G-H-I,,[' Full-cut'],[' Oval-shaped Cabochon'],,[' Jadeite Jade']
844,"Diamond, Platinum ", Very Good,[4.17],2000000.0,5.35,7.0, M+, VS,[' Round Brilliant'],[],,[]
845,"Burma Ruby, Diamond, Platinum, Gold ", Good,[4.35 1.4 ],2000000.0,7.0,6.0, J-K-L, SI,[' Full-cut'],[' Oval-shaped'], Good,[' Ruby']
846,"Diamond, Platinum ", Very Good,[3.74 0.2 ],2000000.0,4.15,6.0, J-K-L, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
847,"Emerald, South Sea Cultured Pearl, Diamond, Platinum, Gold ", Very Good,[11.5 16.   0.7],2000000.0,43.1,5.0, G-H-I, VS,"[' Full-cut, Baguette-cut']",[],,[]
848,"Oscar Heyman Bros. Ruby, Diamond, Gold ", Excellent,[],2000000.0,,6.0, D-E-F, VVS,[' Tapered Baguette-cut'],[' Mixed Oval-cut'], Good,[' Ruby']
849,"Natural Pearl, Diamond, Platinum-Topped Gold ", Very Good,[7.98],2000000.0,3.96,5.0, G-H-I, SI,"[' Single-cut', ' Button']",[],,[]
850,"Jadeite Jade, Diamond, Gold ", Good,[11.    3.25],2000000.0,14.7,, G-H-I, SI,[' Full-cut'],[],,[]
851,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[2.38 0.63 0.65],2000000.0,7.45,7.0, G-H-I, VS,"[' Radiant-cut, Full-cut']",[],,[]
852,"Diamond, White Gold ", Very Good,[2.15 0.25],2000000.0,7.5,7.0, G-H-I, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
853,"Diamond, Platinum ", Good,[4.01 1.05],1937500.0,8.9,5.0, J-K-L, SI,"[' Triangular', ' Square Modified Brilliant']",[],,[]
854,"Diamond, Platinum ", Very Good,[2.02 0.51],1937500.0,8.17,5.0,,,"[' Marquise', ' Marquise', ' Marquise']",[],,[]
855,"Diamond, Platinum ", Very Good,[1.85],1937500.0,5.0,6.0,,,[' Round Brilliant'],[],,[]
856,"Diamond, Platinum, White Gold ", Very Good,[3.54 0.1  0.15],1937500.0,9.5,6.0, J-K-L, SI,"[' European-cut, Full-cut, Single-cut']",[],,[]
857,"Diamond, White Gold ", Very Good,[4.6],1912000.0,3.4,5.0, M+, SI,[' Round-Brilliant'],[],,[]
858,"Jadeite Jade, Diamond, Platinum ", Very Good,[14.26  4.75],1912000.0,19.3,7.0, G-H-I, VVS,[' full-cut'],[' Oval-shaped cabochon'], Fine,[' Jadeite Jade']
859,"Jadeite Jade, Diamond, White Gold ", Very Good,[10.77  1.9   0.7   2.62],1912000.0,13.0,6.0, G-H-I, VS,"[' Full-cut, Tapered Baguette-cut']",[' Oval-shaped cabochon'], Fine,[' Jadeite Jade']
860,"Gentleman's Diamond, White Gold ", Excellent,[3.36],1912000.0,12.74,9.0, G-H-I, SI,[' Brilliant-cut'],[],,[]
861,"Diamond, Platinum ", Very Good,[],1912000.0,12.4,7.0,,,"[' Baguette, Pear']",[],,[]
862,"Art Deco Diamond, Platinum ",,[],1900000.0,6.2,,,,[],[],,[]
863,"Fancy Vivid Yellow Diamond, Diamond, Platinum, White Gold ", Very Good,[1.21 0.58],1875000.0,3.81,5.0, D-E-F, VS,"[' Trapezoid', ' Emerald-cut']",[],,[]
864,"Gentleman's Diamond, Gold ", Good,[4.01 1.   1.7 ],1875000.0,13.8,10.0, J-K-L, SI,"[' Baguette, square brilliant', ' Rectangular Brilliant']",[],,[]
865,"Colombian Emerald, Diamond, White Gold ", Good,[7.28 0.6 ],1875000.0,7.1,, G-H-I, SI,[' Single'],"[' Rectangular Emerald Cut', ' Octagonal']",,"[' Natural Beryl, Emerald', ' Natural Beryl, Emerald']"
866,"Diamond, Platinum ", Good,[3.28 0.4 ],1875000.0,4.9,7.0, G-H-I, VS,"[' Baguette', ' Emerald-Cut']",[],,[]
867,"Diamond, Platinum ", Very Good,[3.02 0.5 ],1875000.0,16.0,6.0, G-H-I, VS,"[' Full-cut', ' Round Brilliant']",[],,[]
868,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[10.83  1.24],1875000.0,9.4,6.0, G-H-I, SI,[' Half moon'],[' Cushion'],,[' Natural Sapphire']
869,"Black Opal, Diamond, Platinum ", Very Good,[9.55 2.5 ],1875000.0,13.8,6.0, G-H-I, SI,"[' Full, Baguette']",[' Oval'],,[' Black opal']
870,"Ceylon Fancy Sapphire, Diamond, Platinum ", Very Good,[10.35  3.25  1.75  1.15],1875000.0,17.1,7.0, G-H-I, VS,"[' Marquise, Pear, Full']",[' Oval'],,[' Natural Corundum']
871,"Ceylon Sapphire, Diamond, White Gold ", Very Good,[15.81  1.35],1875000.0,11.1,7.0, G-H-I, VS,[' Full-cut'],[' Oval'],,[' Natural Corundum']
872,"Gentleman's Cat's-Eye Chrysoberyl, Diamond, Platinum ", Very Good,[15.68  0.65],1875000.0,51.8,10.0, G-H-I, SI,[' triangular brilliant'],"[' cabochon', ' Cabochon']",,"["" Cat's-eye chrysoberyl"", "" Cat's-Eye Chrysoberyl""]"
873,"Diamond, Sapphire, Platinum ", Very Good,[3.42 2.   1.45],1875000.0,7.2,6.0,,,[' Oval Brilliant'],[' Oval'],,[' Sapphire']
874,"Diamond, Platinum ", Very Good,[3.03 0.8 ],1875000.0,9.0,5.0, G-H-I, VS,"[' baguette, tapered baguette', ' Emerald-cut']",[],,[]
875,"Art Deco Emerald, Diamond, Platinum ", Very Good,[0.35],1875000.0,6.4,5.0, G-H-I, VS,"[' Kite, Single-cut']",[' Carved'],,[' Emerald']
876,"Diamond, Gold ", Very Good,[4.03 0.8 ],1875000.0,7.7,7.0, G-H-I, VS,"[' Full-cut', ' Pear Modified Brilliant']",[],,[]
877,"Gentleman's Diamond, Gold ", Very Good,[3.05 1.  ],1875000.0,29.2,11.0, G-H-I, VS,[' full-cut'],[],,[]
878,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[7.3 0.7],1875000.0,6.9,, G-H-I, VS,[' Triangle-cut'],"[' Octagonal Step Cut', ' Square Emerald-cut']",,"[' Natural Beryl', ' Natural Beryl']"
879,"Very Light Pink Diamond, Diamond, Gold ", Very Good,[2.02 2.1 ],1875000.0,15.4,9.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
